indic_ed,geo\time	2004 	2003 	2002 	2001 	2000 	1999 	1998 
eu27	97893.2 	97026.6 	97266.1 	96022.8 	95840.4 	95787.0 	94285.2 
eu25	92742.3 	91838.0 	92052.7 	90746.6 	90521.3 	90391.1 	88861.6 
ea13	57074.5 	56694.1 	56513.5 	56629.6 	56681.9 	56881.6 	57246.9 
be	2333.0 i	2373.0 i	2332.6 i	2303.5 i	2234.8 i	2206.8 i	: 
bg	1250.1 	1273.9 	1274.9 	1322.0 	1357.1 	1389.5 	1403.9 
cz	1933.7 	1927.7 	1935.3 	1931.8 	1906.2 	1875.2 	1913.9 
dk	1127.3 i	1069.4 	1046.0 	1029.4 	1003.0 	988.3 	972.7 
de	14583.4 i	14525.4 i	14510.7 i	14515.1 i	14549.3 i	14580.9 i	14567.6 i
ee	292.9 	298.4 	304.0 	305.9 	302.9 	295.5 	289.9 
ie	1032.7 i	1000.8 	992.2 	986.8 	990.1 	994.1 	1000.0 
gr	1982.9 	1960.7 	1975.3 	1905.7 	1883.5 	1858.8 	1904.3 
es	7509.2 	7381.6 	7461.2 	7597.3 	7768.6 	7898.3 	8086.8 
fr	11902.7 	11884.1 	11791.2 	11849.1 	11933.8 	12022.0 	12092.3 
it	9380.0 	9266.2 	9198.7 	9143.6 	9049.2 	9151.1 	9202.3 
cy	148.1 i	145.9 i	141.5 i	139.6 i	138.0 i	138.1 i	: 
lv	501.8 	505.8 	510.1 	509.7 	498.6 	484.6 	470.6 
lt	810.6 	806.8 	796.6 	787.3 	766.8 	739.1 	713.0 
lu	71.4 i	72.9 i	72.0 i	70.3 i	68.7 i	67.6 i	62.2 i
hu	1988.2 	1968.2 	1945.5 	1924.2 	1905.6 	1879.4 	1855.1 
mt	81.1 	78.6 	77.1 	77.9 	77.6 	78.1 	: 
nl	3264.1 	3238.9 	3208.1 	3217.3 	3171.1 	3122.6 	3136.0 
at	1452.4 	1429.0 	1422.1 	1463.6 	1458.8 	1442.9 	1426.1 
pl	9004.3 	9077.3 	9153.1 	9152.5 	9073.8 	9002.6 	8866.8 
pt	1945.3 	1961.5 	1963.6 	2002.4 	2032.3 	2019.5 	2076.3 
ro	3900.7 	3914.7 	3938.5 i	3954.2 i	3962.1 i	4006.4 i	4019.8 i
si	411.0 i	407.7 i	407.1 i	403.3 i	389.4 i	391.5 i	385.5 i
sk	1107.7 	1104.0 	1108.5 	1114.0 	1122.8 	1119.0 	1122.9 
fi	1206.3 	1192.5 	1178.8 	1171.7 	1152.3 	1125.5 	1100.6 
se	2122.5 	2118.8 	2114.8 	2106.9 	2089.5 	2075.0 	1961.9 
uk	16549.7 	16043.0 	16406.7 	15037.9 	14954.5 	14834.5 	13231.5 
hr	730.1 	725.2 	: 	: 	: 	: 	: 
mk	376.8 i	381.2 i	384.9 i	386.6 i	385.6 i	383.4 i	378.8 i
tr	16378.9 	15564.9 	15389.1 	14893.2 	13168.8 	13570.9 	: 
is	82.0 	80.0 	76.8 	74.4 	73.5 	71.6 	71.3 
li	6.1 i	5.9 i	: 	: 	4.5 	: 	: 
no	1052.4 	1036.2 	1005.2 	993.2 	989.3 	980.8 	957.8 
ch	1330.2 	1314.8 	1294.0 	: 	: 	: 	: 
us	66074.7 	65738.0 	64440.4 	63652.7 	62323.3 	62795.2 	61816.1 
jp	19435.3 	19646.2 	19956.3 	20254.1 	20582.9 	20907.6 	21367.7 
