geo\time	2006 	2005 	2004 	2003 	2002 
eu27	4.0 	: 	: 	: 	: 
eu25	4.0 	2.7 	2.1 	: 	: 
eu15	4.1 	2.8 	2.2 	1.1 	0.9 
ea	3.5 	2.2 	2.1 	0.9 	0.7 
be	2.7 	2.2 	1.5 	1.8 	: 
bg	0.1 	: 	1.2 	: 	: 
cz	3.1 	3.3 	1.9 	2.8 	: 
dk	: u	: u	4.4 	1.6 	1.0 
de	4.4 	3.1 	2.7 	0.7 	1.0 
ee	: u	1.0 	1.1 	: 	: 
ie	9.1 	10.1 	11.6 	10.0 	: 
gr	1.1 	1.7 	1.0 	0.2 	0.5 
es	4.5 	0.6 	0.4 	0.3 	0.3 
fr	3.7 	: 	: 	: 	: 
it	0.8 	0.7 	1.2 	0.3 	0.3 
cy	1.4 	0.2 	: 	: 	: 
lv	: c	: c	0.2 	: 	: 
lt	5.5 	2.0 	1.6 	: 	: 
lu	: 	: 	: 	: 	0.4 
hu	3.6 	1.1 	: 	: 	: 
mt	: 	: u	: 	: 	: 
at	2.1 	1.0 	1.0 	0.9 	: 
pl	: u	1.6 	1.3 	: 	: 
pt	: u	: u	1.3 	0.6 	0.6 
ro	0.5 	: 	1.3 	: 	: 
si	: u	: u	: u	: 	: 
sk	0.0 	0.0 	0.8 	: 	: 
fi	: u	: u	: 	: u	1.1 
se	: c	: c	: c	: u	: c
uk	6.0 	4.1 	2.3 	1.5 	1.2 
is	5.6 	: 	: 	0.5 	: 
no	6.4 	3.9 	2.7 	2.4 	2.2 
